ticker,is_loss_making,eps_growth_3y_pct,target_pe_bear,target_pe_base,target_pe_bull,manual_forward_eps,max_position_pct,sector_group
005930,0.0,10.0,8.0,12.0,16.0,,3.0,반도체와반도체장비
000660,0.0,10.0,8.0,12.0,16.0,,3.0,반도체와반도체장비
005380,0.0,10.0,8.0,12.0,16.0,,3.0,자동차
373220,0.0,10.0,8.0,12.0,16.0,,3.0,전기제품
402340,0.0,10.0,8.0,12.0,16.0,,3.0,복합기업
207940,0.0,10.0,8.0,12.0,16.0,,3.0,제약
012450,0.0,10.0,8.0,12.0,16.0,,3.0,우주항공과국방
034020,0.0,10.0,8.0,12.0,16.0,,3.0,기계
000270,0.0,10.0,8.0,12.0,16.0,,3.0,자동차
105560,0.0,10.0,8.0,12.0,16.0,,3.0,은행
329180,0.0,10.0,8.0,12.0,16.0,,3.0,조선
009150,0.0,10.0,8.0,12.0,16.0,,3.0,전자장비와기기
032830,0.0,10.0,8.0,12.0,16.0,,3.0,생명보험
028260,0.0,10.0,8.0,12.0,16.0,,3.0,복합기업
055550,0.0,10.0,8.0,12.0,16.0,,3.0,은행
068270,0.0,10.0,8.0,12.0,16.0,,3.0,제약
006400,0.0,10.0,8.0,12.0,16.0,,3.0,전기제품
042660,0.0,10.0,8.0,12.0,16.0,,3.0,조선
267260,0.0,10.0,8.0,12.0,16.0,,3.0,전기장비
006800,0.0,10.0,8.0,12.0,16.0,,3.0,증권
012330,0.0,10.0,8.0,12.0,16.0,,3.0,자동차부품
010130,0.0,10.0,8.0,12.0,16.0,,3.0,비철금속
086790,0.0,10.0,8.0,12.0,16.0,,3.0,은행
035420,0.0,10.0,8.0,12.0,16.0,,3.0,양방향미디어와서비스
005490,0.0,10.0,8.0,12.0,16.0,,3.0,철강
009540,0.0,10.0,8.0,12.0,16.0,,3.0,조선
015760,0.0,10.0,8.0,12.0,16.0,,3.0,전기유틸리티
010120,0.0,10.0,8.0,12.0,16.0,,3.0,전기장비
298040,0.0,10.0,8.0,12.0,16.0,,3.0,전기장비
042700,0.0,10.0,8.0,12.0,16.0,,3.0,반도체와반도체장비
034730,0.0,10.0,8.0,12.0,16.0,,3.0,석유와가스
316140,0.0,10.0,8.0,12.0,16.0,,3.0,은행
010140,0.0,10.0,8.0,12.0,16.0,,3.0,조선
051910,0.0,10.0,8.0,12.0,16.0,,3.0,화학
272210,0.0,10.0,8.0,12.0,16.0,,3.0,우주항공과국방
064350,0.0,10.0,8.0,12.0,16.0,,3.0,우주항공과국방
035720,0.0,10.0,8.0,12.0,16.0,,3.0,양방향미디어와서비스
096770,0.0,10.0,8.0,12.0,16.0,,3.0,석유와가스
000150,0.0,10.0,8.0,12.0,16.0,,3.0,복합기업
000810,0.0,10.0,8.0,12.0,16.0,,3.0,손해보험
017670,0.0,10.0,8.0,12.0,16.0,,3.0,무선통신서비스
003670,0.0,10.0,8.0,12.0,16.0,,3.0,화학
267250,0.0,10.0,8.0,12.0,16.0,,3.0,조선
066570,0.0,10.0,8.0,12.0,16.0,,3.0,전자제품
011200,0.0,10.0,8.0,12.0,16.0,,3.0,해운사
138040,0.0,10.0,8.0,12.0,16.0,,3.0,湲고?
000720,0.0,10.0,8.0,12.0,16.0,,3.0,건설
033780,0.0,10.0,8.0,12.0,16.0,,3.0,담배
079550,0.0,10.0,8.0,12.0,16.0,,3.0,우주항공과국방
047810,0.0,10.0,8.0,12.0,16.0,,3.0,우주항공과국방
024110,0.0,10.0,8.0,12.0,16.0,,3.0,은행
086280,0.0,10.0,8.0,12.0,16.0,,3.0,항공화물운송과물류
030200,0.0,10.0,8.0,12.0,16.0,,3.0,다각화된통신서비스
278470,0.0,10.0,8.0,12.0,16.0,,3.0,화장품
0126Z0,0.0,10.0,8.0,12.0,16.0,,3.0,제약
003550,0.0,10.0,8.0,12.0,16.0,,3.0,복합기업
071050,0.0,10.0,8.0,12.0,16.0,,3.0,증권
018260,0.0,10.0,8.0,12.0,16.0,,3.0,IT서비스
010950,0.0,10.0,8.0,12.0,16.0,,3.0,석유와가스
047050,0.0,10.0,8.0,12.0,16.0,,3.0,무역회사와판매업체
005940,0.0,10.0,8.0,12.0,16.0,,3.0,증권
259960,0.0,10.0,8.0,12.0,16.0,,3.0,게임엔터테인먼트
323410,0.0,10.0,8.0,12.0,16.0,,3.0,은행
005830,0.0,10.0,8.0,12.0,16.0,,3.0,손해보험
307950,0.0,10.0,8.0,12.0,16.0,,3.0,IT서비스
047040,0.0,10.0,8.0,12.0,16.0,,3.0,건설
039490,0.0,10.0,8.0,12.0,16.0,,3.0,증권
352820,0.0,10.0,8.0,12.0,16.0,,3.0,방송과엔터테인먼트
003230,0.0,10.0,8.0,12.0,16.0,,3.0,식품
006260,0.0,10.0,8.0,12.0,16.0,,3.0,전기장비
000880,0.0,10.0,8.0,12.0,16.0,,3.0,복합기업
016360,0.0,10.0,8.0,12.0,16.0,,3.0,증권
028050,0.0,10.0,8.0,12.0,16.0,,3.0,건설
011070,0.0,10.0,8.0,12.0,16.0,,3.0,전자장비와기기
003490,0.0,10.0,8.0,12.0,16.0,,3.0,항공사
007660,0.0,10.0,8.0,12.0,16.0,,3.0,전자장비와기기
005387,0.0,10.0,8.0,12.0,16.0,,3.0,자동차
443060,0.0,10.0,8.0,12.0,16.0,,3.0,조선
326030,0.0,10.0,8.0,12.0,16.0,,3.0,제약
267270,0.0,10.0,8.0,12.0,16.0,,3.0,기계
180640,0.0,10.0,8.0,12.0,16.0,,3.0,항공사
000100,0.0,10.0,8.0,12.0,16.0,,3.0,제약
090430,0.0,10.0,8.0,12.0,16.0,,3.0,화장품
377300,0.0,10.0,8.0,12.0,16.0,,3.0,IT서비스
009830,0.0,10.0,8.0,12.0,16.0,,3.0,에너지장비및서비스
032640,0.0,10.0,8.0,12.0,16.0,,3.0,무선통신서비스
066970,0.0,10.0,8.0,12.0,16.0,,3.0,전기제품
161390,0.0,10.0,8.0,12.0,16.0,,3.0,자동차부품
001440,0.0,10.0,8.0,12.0,16.0,,3.0,전기장비
034220,0.0,10.0,8.0,12.0,16.0,,3.0,디스플레이패널
052690,0.0,10.0,8.0,12.0,16.0,,3.0,전기유틸리티
