model_id,feature_name,importance,rank
entry_20260428_210139,종가,0.0,1
entry_20260428_210139,20일이평,0.0,2
entry_20260428_210139,60일이평,0.0,3
entry_20260428_210139,120일이평,0.0,4
entry_20260428_210139,200일이평,0.0,5
entry_20260428_210139,200일선상단여부,0.0,6
entry_20260428_210139,RSI14,0.0,7
entry_20260428_210139,MACD히스토그램,0.0,8
entry_20260428_210139,거래량비율20일,0.0,9
entry_20260428_210139,20일돌파,0.0,10
entry_20260428_210139,5일수익률(%),0.0,11
entry_20260428_210139,20일수익률(%),0.0,12
entry_20260428_210139,후행EPS(DART),0.0,13
entry_20260428_210139,컨센서스EPS(스크랩),0.0,14
entry_20260428_210139,자동선행EPS,0.0,15
entry_20260428_210139,수동선행EPS,0.0,16
entry_20260428_210139,모델EPS,0.0,17
entry_20260428_210139,현재PER,0.0,18
entry_20260428_210139,적정주가_기준,0.0,19
entry_20260428_210139,상승여력(%),0.0,20
entry_20260428_210139,적자여부,0.0,21
entry_20260428_210139,최대비중(%),0.0,22
entry_20260428_210139,레짐비중배수,0.0,23
entry_20260428_210139,volume_ratio_pct_rank,0.0,24
entry_20260428_210139,시장,0.0,25
entry_20260428_210139,섹터그룹,0.0,26
entry_20260428_210139,마켓레짐,0.0,27
entry_20260428_210139,EPS소스,0.0,28
entry_20260428_210139,원본EPS출처,0.0,29
alpha,alpha_20260428_210311,상승여력(%),0.16726572528883182,1
alpha,alpha_20260428_210311,200일선상단여부,0.03543003851091142,2
alpha,alpha_20260428_210311,RSI14,0.0026957637997432338,3
alpha,alpha_20260428_210311,200일이평,0.0014120667522464548,4
alpha,alpha_20260428_210311,20일돌파,0.0008985879332477298,5
alpha,alpha_20260428_210311,60일이평,0.0005134788189987028,6
alpha,alpha_20260428_210311,현재PER,0.00038510911424902703,7
alpha,alpha_20260428_210311,120일이평,0.0,8
alpha,alpha_20260428_210311,MACD히스토그램,0.0,9
alpha,alpha_20260428_210311,거래량비율20일,0.0,10
alpha,alpha_20260428_210311,종가,0.0,11
alpha,alpha_20260428_210311,20일이평,0.0,12
alpha,alpha_20260428_210311,20일수익률(%),0.0,13
alpha,alpha_20260428_210311,5일수익률(%),0.0,14
alpha,alpha_20260428_210311,후행EPS(DART),0.0,15
alpha,alpha_20260428_210311,컨센서스EPS(스크랩),0.0,16
alpha,alpha_20260428_210311,모델EPS,0.0,17
alpha,alpha_20260428_210311,자동선행EPS,0.0,18
alpha,alpha_20260428_210311,적정주가_기준,0.0,19
alpha,alpha_20260428_210311,적자여부,0.0,20
alpha,alpha_20260428_210311,최대비중(%),0.0,21
alpha,alpha_20260428_210311,레짐비중배수,0.0,22
alpha,alpha_20260428_210311,volume_ratio_pct_rank,0.0,23
alpha,alpha_20260428_210311,시장,0.0,24
alpha,alpha_20260428_210311,섹터그룹,0.0,25
alpha,alpha_20260428_210311,마켓레짐,0.0,26
alpha,alpha_20260428_210311,EPS소스,0.0,27
alpha,alpha_20260428_210311,원본EPS출처,0.0,28
entry,entry_20260428_210317,상승여력(%),0.02695763799743256,1
entry,entry_20260428_210317,20일돌파,0.02464698331193833,2
entry,entry_20260428_210317,후행EPS(DART),0.002182284980744498,3
entry,entry_20260428_210317,5일수익률(%),0.0017971758664954596,4
entry,entry_20260428_210317,현재PER,0.0011553273427470589,5
entry,entry_20260428_210317,20일수익률(%),0.0010269576379973832,6
entry,entry_20260428_210317,자동선행EPS,0.0006418485237483784,7
entry,entry_20260428_210317,시장,0.00038510911424902703,8
entry,entry_20260428_210317,120일이평,0.0,9
entry,entry_20260428_210317,60일이평,0.0,10
entry,entry_20260428_210317,20일이평,0.0,11
entry,entry_20260428_210317,종가,0.0,12
entry,entry_20260428_210317,거래량비율20일,0.0,13
entry,entry_20260428_210317,200일선상단여부,0.0,14
entry,entry_20260428_210317,RSI14,0.0,15
entry,entry_20260428_210317,MACD히스토그램,0.0,16
entry,entry_20260428_210317,200일이평,0.0,17
entry,entry_20260428_210317,모델EPS,0.0,18
entry,entry_20260428_210317,적정주가_기준,0.0,19
