trade_date,index_code,close,volume,advance_count,decline_count,data_source
20250428,KOSPI,2548.860107421875,454100,0.0,0.0,yfinance
20250429,KOSPI,2565.419921875,547100,543.0,176.0,yfinance
20250430,KOSPI,2556.610107421875,487500,233.0,479.0,yfinance
20250502,KOSPI,2559.7900390625,585500,373.0,343.0,yfinance
20250507,KOSPI,2573.800048828125,546800,417.0,288.0,yfinance
20250508,KOSPI,2579.47998046875,471600,458.0,241.0,yfinance
20250509,KOSPI,2577.27001953125,485600,280.0,433.0,yfinance
20250512,KOSPI,2607.330078125,409700,504.0,225.0,yfinance
20250513,KOSPI,2608.419921875,422500,422.0,293.0,yfinance
20250514,KOSPI,2640.570068359375,390500,507.0,209.0,yfinance
20250515,KOSPI,2621.360107421875,339600,234.0,493.0,yfinance
20250516,KOSPI,2626.8701171875,359700,268.0,463.0,yfinance
20250519,KOSPI,2603.419921875,313300,190.0,533.0,yfinance
20250520,KOSPI,2601.800048828125,457000,405.0,315.0,yfinance
20250521,KOSPI,2625.580078125,371500,425.0,284.0,yfinance
20250522,KOSPI,2593.669921875,358100,176.0,553.0,yfinance
20250523,KOSPI,2592.090087890625,434000,339.0,385.0,yfinance
20250526,KOSPI,2644.39990234375,380200,537.0,183.0,yfinance
20250527,KOSPI,2637.219970703125,318300,291.0,427.0,yfinance
20250528,KOSPI,2670.14990234375,405500,436.0,288.0,yfinance
20250529,KOSPI,2720.639892578125,448300,573.0,153.0,yfinance
20250530,KOSPI,2697.669921875,525700,271.0,452.0,yfinance
20250602,KOSPI,2698.969970703125,323600,300.0,419.0,yfinance
20250604,KOSPI,2770.840087890625,489900,608.0,120.0,yfinance
20250605,KOSPI,2812.050048828125,556000,457.0,269.0,yfinance
20250609,KOSPI,2855.77001953125,537600,461.0,258.0,yfinance
20250610,KOSPI,2871.85009765625,508200,385.0,340.0,yfinance
20250611,KOSPI,2907.0400390625,393900,515.0,206.0,yfinance
20250612,KOSPI,2920.030029296875,713700,383.0,348.0,yfinance
20250613,KOSPI,2894.6201171875,931700,132.0,608.0,yfinance
20250616,KOSPI,2946.659912109375,726400,459.0,264.0,yfinance
20250617,KOSPI,2950.300048828125,939600,319.0,405.0,yfinance
20250618,KOSPI,2972.18994140625,576500,366.0,355.0,yfinance
20250619,KOSPI,2977.739990234375,433300,361.0,362.0,yfinance
20250620,KOSPI,3021.840087890625,484900,431.0,293.0,yfinance
20250623,KOSPI,3014.469970703125,625700,232.0,504.0,yfinance
20250624,KOSPI,3103.639892578125,579200,611.0,124.0,yfinance
20250625,KOSPI,3108.25,644800,358.0,370.0,yfinance
20250626,KOSPI,3079.56005859375,460600,171.0,554.0,yfinance
20250627,KOSPI,3055.93994140625,381600,194.0,529.0,yfinance
20250630,KOSPI,3071.699951171875,464200,367.0,360.0,yfinance
20250701,KOSPI,3089.64990234375,576000,461.0,261.0,yfinance
20250702,KOSPI,3075.06005859375,696800,292.0,432.0,yfinance
20250703,KOSPI,3116.27001953125,539100,492.0,233.0,yfinance
20250704,KOSPI,3054.280029296875,520800,109.0,627.0,yfinance
20250707,KOSPI,3059.469970703125,359400,345.0,378.0,yfinance
20250708,KOSPI,3114.949951171875,745800,492.0,236.0,yfinance
20250709,KOSPI,3133.739990234375,643000,475.0,253.0,yfinance
20250710,KOSPI,3183.22998046875,596600,451.0,263.0,yfinance
20250711,KOSPI,3175.77001953125,465300,369.0,343.0,yfinance
20250714,KOSPI,3202.030029296875,444000,350.0,377.0,yfinance
20250715,KOSPI,3215.280029296875,419700,420.0,299.0,yfinance
20250716,KOSPI,3186.3798828125,531500,212.0,512.0,yfinance
20250717,KOSPI,3192.2900390625,424800,393.0,325.0,yfinance
20250718,KOSPI,3188.070068359375,393400,281.0,438.0,yfinance
20250721,KOSPI,3210.81005859375,343900,350.0,370.0,yfinance
20250722,KOSPI,3169.93994140625,378500,193.0,541.0,yfinance
20250723,KOSPI,3183.77001953125,664800,290.0,435.0,yfinance
20250724,KOSPI,3190.449951171875,425500,210.0,512.0,yfinance
20250725,KOSPI,3196.050048828125,389300,293.0,419.0,yfinance
20250728,KOSPI,3209.52001953125,502700,263.0,467.0,yfinance
20250729,KOSPI,3230.570068359375,373200,380.0,348.0,yfinance
20250730,KOSPI,3254.469970703125,338100,374.0,342.0,yfinance
20250731,KOSPI,3245.43994140625,540300,325.0,397.0,yfinance
20250801,KOSPI,3119.409912109375,507800,24.0,724.0,yfinance
20250804,KOSPI,3147.75,293500,558.0,166.0,yfinance
20250805,KOSPI,3198.0,273400,578.0,151.0,yfinance
20250806,KOSPI,3198.139892578125,327400,503.0,212.0,yfinance
20250807,KOSPI,3227.679931640625,327000,407.0,319.0,yfinance
20250808,KOSPI,3210.010009765625,341400,322.0,394.0,yfinance
20250811,KOSPI,3206.77001953125,305000,297.0,428.0,yfinance
20250812,KOSPI,3189.909912109375,373200,227.0,492.0,yfinance
20250813,KOSPI,3224.3701171875,320100,413.0,310.0,yfinance
20250814,KOSPI,3225.659912109375,441500,340.0,379.0,yfinance
20250818,KOSPI,3177.280029296875,326100,159.0,574.0,yfinance
20250819,KOSPI,3151.56005859375,285300,172.0,552.0,yfinance
20250820,KOSPI,3130.090087890625,335300,184.0,546.0,yfinance
20250821,KOSPI,3141.739990234375,276900,360.0,360.0,yfinance
20250822,KOSPI,3168.72998046875,236800,409.0,312.0,yfinance
20250825,KOSPI,3209.860107421875,220200,584.0,146.0,yfinance
20250826,KOSPI,3179.360107421875,325400,336.0,381.0,yfinance
20250827,KOSPI,3187.159912109375,281700,349.0,368.0,yfinance
20250828,KOSPI,3196.320068359375,312200,377.0,353.0,yfinance
20250829,KOSPI,3186.010009765625,245100,249.0,479.0,yfinance
20250901,KOSPI,3142.929931640625,260100,170.0,573.0,yfinance
20250902,KOSPI,3172.35009765625,310700,407.0,314.0,yfinance
20250903,KOSPI,3184.419921875,335800,431.0,294.0,yfinance
20250904,KOSPI,3200.830078125,286300,550.0,178.0,yfinance
20250905,KOSPI,3205.1201171875,323800,402.0,318.0,yfinance
20250908,KOSPI,3219.590087890625,372300,479.0,246.0,yfinance
20250909,KOSPI,3260.050048828125,439900,491.0,236.0,yfinance
20250910,KOSPI,3314.530029296875,564700,529.0,199.0,yfinance
20250911,KOSPI,3344.199951171875,435600,408.0,316.0,yfinance
20250912,KOSPI,3395.5400390625,448900,487.0,243.0,yfinance
20250915,KOSPI,3407.31005859375,378900,435.0,299.0,yfinance
20250916,KOSPI,3449.6201171875,406200,307.0,420.0,yfinance
20250917,KOSPI,3413.39990234375,326600,257.0,474.0,yfinance
20250918,KOSPI,3461.300048828125,391200,475.0,254.0,yfinance
20250919,KOSPI,3445.239990234375,348800,180.0,192.0,yfinance
20250922,KOSPI,3468.64990234375,287900,335.0,407.0,yfinance
20250923,KOSPI,3486.18994140625,358300,283.0,447.0,yfinance
20250924,KOSPI,3472.139892578125,287100,231.0,509.0,yfinance
20250925,KOSPI,3471.110107421875,293100,231.0,503.0,yfinance
20250926,KOSPI,3386.050048828125,399200,87.0,659.0,yfinance
20250929,KOSPI,3431.2099609375,416500,523.0,201.0,yfinance
20250930,KOSPI,3424.60009765625,526400,268.0,460.0,yfinance
20251001,KOSPI,3455.830078125,493600,362.0,369.0,yfinance
20251002,KOSPI,3549.2099609375,402100,503.0,227.0,yfinance
20251010,KOSPI,3610.60009765625,407400,342.0,404.0,yfinance
20251013,KOSPI,3584.550048828125,408000,287.0,449.0,yfinance
20251014,KOSPI,3561.81005859375,734100,223.0,515.0,yfinance
20251015,KOSPI,3657.280029296875,543600,633.0,105.0,yfinance
20251016,KOSPI,3748.3701171875,495800,365.0,373.0,yfinance
20251017,KOSPI,3748.889892578125,420800,171.0,573.0,yfinance
20251020,KOSPI,3814.68994140625,410100,540.0,196.0,yfinance
20251021,KOSPI,3823.840087890625,526900,290.0,431.0,yfinance
20251022,KOSPI,3883.679931640625,597200,475.0,257.0,yfinance
