as_of_date,ticker,name,market,sector_group,position_status,entry_date,entry_price,current_price,current_weight_pct,target_weight_pct,initial_stop_price,trailing_stop_price,days_held,total_score,combined_action,reason_code,brief_reason,warn_flags,portfolio_weight_pct
2026-04-30,055550,신한지주,KS,은행,보유,2026-04-30,100000.0,,0.0,0.0,90000.0,90000.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,192400,쿠쿠홀딩스,KS,가정용기기와용품,보유,2026-04-30,30500.0,,0.0,0.0,27450.0,27450.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,006120,SK디스커버리,KS,석유와가스,보유,2026-04-30,59000.0,,0.0,0.0,53100.0,53100.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,042370,비츠로테크,KQ,전기제품,보유,2026-04-30,17370.0,,0.0,0.0,15633.0,15633.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,002790,아모레퍼시픽홀딩스,KS,화장품,보유,2026-04-30,28750.0,,0.0,0.0,25875.0,25875.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,101930,인화정공,KQ,조선,보유,2026-04-28,10400.0,,0.0,0.0,9568.0,12168.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,001390,KG케미칼,KS,자동차,보유,2026-04-28,6140.0,,0.0,0.0,5648.8,6363.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,151860,KG에코솔루션,KQ,자동차,보유,2026-04-28,7240.0,,0.0,0.0,6660.8,6660.8,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,016380,KG스틸,KS,철강,보유,2026-04-28,6730.0,,0.0,0.0,6191.6,6327.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,001800,오리온홀딩스,KS,식품,보유,2026-04-28,24550.0,,0.0,0.0,22586.0,23265.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,036830,솔브레인홀딩스,KQ,전기제품,보유,2026-04-28,76900.0,,0.0,0.0,70748.0,71640.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,267250,HD현대,KS,조선,보유,2026-04-28,280500.0,,0.0,0.0,258060.0,279450.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,000880,한화,KS,복합기업,보유,2026-04-28,129100.0,,0.0,0.0,118772.0,120060.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,194370,제이에스코퍼레이션,KS,"섬유,의류,신발,호화품",보유,2026-04-28,14610.0,,0.0,0.0,13441.2,13441.2,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,012630,HDC,KS,건설,보유,2026-04-28,27900.0,,0.0,0.0,25668.0,25920.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,015860,일진홀딩스,KS,전기장비,보유,2026-04-28,9820.0,,0.0,0.0,9034.4,9315.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,037460,삼지전자,KQ,통신장비,보유,2026-04-28,33700.0,,0.0,0.0,31004.0,31004.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,005880,대한해운,KS,해운사,보유,2026-04-28,2685.0,,0.0,0.0,2470.2000000000003,2470.2000000000003,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,002380,KCC,KS,건축자재,보유,2026-04-28,553000.0,,0.0,0.0,508760.0,518400.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,00088K,한화3우B,KS,복합기업,보유,2026-04-28,48800.0,,0.0,0.0,44896.0,44896.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,015750,성우하이텍,KQ,자동차부품,보유,2026-04-28,9160.0,,0.0,0.0,8427.2,8427.2,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,017940,E1,KS,가스유틸리티,보유,2026-04-28,104100.0,,0.0,0.0,95772.0,97560.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,088350,한화생명,KS,생명보험,보유,2026-04-28,4975.0,,0.0,0.0,4577.0,4577.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,093050,LF,KS,"섬유,의류,신발,호화품",보유,2026-04-28,25500.0,,0.0,0.0,23460.0,23460.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,005440,현대지에프홀딩스,KS,복합기업,보유,2026-04-28,15190.0,,0.0,0.0,13974.8,13974.8,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,010690,화신,KS,자동차부품,보유,2026-04-28,12990.0,,0.0,0.0,11950.8,11950.8,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,139130,iM금융지주,KS,은행,보유,2026-04-28,19280.0,,0.0,0.0,17737.600000000002,17737.600000000002,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,015360,INVENI,KS,가스유틸리티,보유,2026-04-28,16640.0,,0.0,0.0,15308.8,15308.8,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,078930,GS,KS,석유와가스,보유,2026-04-28,76800.0,,0.0,0.0,70656.0,73890.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,383800,LX홀딩스,KS,무역회사와판매업체,보유,2026-04-28,9220.0,,0.0,0.0,8482.4,8482.4,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,007340,DN오토모티브,KS,자동차부품,보유,2026-04-28,41000.0,,0.0,0.0,37720.0,43245.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,00680K,미래에셋증권2우B,KS,증권,보유,2026-04-28,20400.0,,0.0,0.0,18768.0,18768.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,004690,삼천리,KS,가스유틸리티,보유,2026-04-28,145200.0,,0.0,0.0,133584.0,133584.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,034310,NICE,KS,IT서비스,보유,2026-04-28,13820.0,,0.0,0.0,12438.0,13131.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,192080,더블유게임즈,KS,게임엔터테인먼트,보유,2026-04-28,62000.0,,0.0,0.0,57040.0,57040.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,453340,현대그린푸드,KS,식품,보유,2026-04-28,16240.0,,0.0,0.0,14616.0,14886.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,072710,농심홀딩스,KS,식품,보유,2026-04-28,97700.0,,0.0,0.0,89884.0,89884.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,124500,아이티센글로벌,KQ,IT서비스,보유,2026-04-28,52000.0,,0.0,0.0,47840.0,49320.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,071050,한국금융지주,KS,증권,보유,2026-04-28,258500.0,,0.0,0.0,237820.0,237820.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,034730,SK,KS,석유와가스,보유,2026-04-28,414000.0,,0.0,0.0,380880.0,382500.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,023760,한국캐피탈,KQ,기타금융,보유,2026-04-28,981.0,,0.0,0.0,902.52,902.52,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,016610,DB증권,KS,증권,보유,2026-04-28,14190.0,,0.0,0.0,13054.8,13054.8,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,064820,케이프,KQ,증권,보유,2026-04-28,16120.0,,0.0,0.0,14830.4,14830.4,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,009970,영원무역홀딩스,KS,"섬유,의류,신발,호화품",보유,2026-04-28,206000.0,,0.0,0.0,185400.0,190800.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,025540,한국단자,KS,자동차부품,보유,2026-04-28,89300.0,,0.0,0.0,82156.0,82260.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,005389,현대차3우B,KS,자동차,보유,2026-04-28,250000.0,,0.0,0.0,230000.0,230000.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,035600,KG이니시스,KQ,IT서비스,보유,2026-04-28,11470.0,,0.0,0.0,10552.4,10552.4,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,215200,메가스터디교육,KQ,교육서비스,보유,2026-04-28,46200.0,,0.0,0.0,41580.0,43740.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,214320,이노션,KS,광고,보유,2026-04-28,19510.0,,0.0,0.0,17559.0,17820.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,004800,효성,KS,복합기업,보유,2026-04-28,227000.0,,0.0,0.0,208840.0,208840.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,001450,현대해상,KS,손해보험,보유,2026-04-28,30850.0,,0.0,0.0,27765.0,28305.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,086790,하나금융지주,KS,은행,보유,2026-04-28,127000.0,,0.0,0.0,114300.0,115110.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,005387,현대차2우B,KS,자동차,보유,2026-04-28,260000.0,,0.0,0.0,239200.0,239200.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,009410,태영건설,KS,건설,보유,2026-04-28,2045.0,,0.0,0.0,1881.4,1881.4,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,035810,이지홀딩스,KQ,식품,보유,2026-04-28,5440.0,,0.0,0.0,4896.0,4914.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,003380,하림지주,KQ,식품,보유,2026-04-28,13190.0,,0.0,0.0,11871.0,12150.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,000370,한화손해보험,KS,손해보험,보유,2026-04-28,6760.0,,0.0,0.0,6219.2,6219.2,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,005830,DB손해보험,KS,손해보험,보유,2026-04-28,173500.0,,0.0,0.0,156150.0,156150.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,138930,BNK금융지주,KS,은행,보유,2026-04-28,18860.0,,0.0,0.0,16974.0,16974.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,024110,기업은행,KS,은행,보유,2026-04-28,22500.0,,0.0,0.0,20250.0,20250.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,003800,에이스침대,KQ,가구,보유,2026-04-28,34350.0,,0.0,0.0,30915.0,31230.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,058650,세아홀딩스,KS,철강,보유,2026-04-28,158300.0,,0.0,0.0,142470.0,146430.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,472850,폰드그룹,KQ,"섬유,의류,신발,호화품",보유,2026-04-28,5960.0,,0.0,0.0,5364.0,5364.0,0,,,NO_SIGNAL,보유중,,0.0
