trade_date,ticker,open,high,low,close,adj_close,volume,value_traded,data_source,market,stale_flag
20250507,005930,54500.0,55000.0,54300.0,54600.0,53653.68359375,17136991,935679708600.0,yfinance,KS,1
20250508,005930,55100.0,55500.0,54500.0,54600.0,53653.68359375,16320532,891101047200.0,yfinance,KS,1
20250509,005930,54700.0,55000.0,54400.0,54800.0,53850.21484375,7814322,428224845600.0,yfinance,KS,1
20250512,005930,55200.0,57600.0,55000.0,57600.0,56601.6875,15414702,887886835200.0,yfinance,KS,1
20250513,005930,57700.0,58200.0,56800.0,56900.0,55913.8203125,16842801,958355376900.0,yfinance,KS,1
20250514,005930,57500.0,57900.0,57000.0,57400.0,56405.15234375,12468089,715668308600.0,yfinance,KS,1
20250515,005930,57400.0,58600.0,57100.0,57300.0,56306.890625,13139736,752906872800.0,yfinance,KS,1
20250516,005930,57400.0,57500.0,56700.0,56800.0,55815.55078125,10385352,589887993600.0,yfinance,KS,1
20250519,005930,56400.0,56400.0,55500.0,55800.0,54832.8828125,9802105,546957459000.0,yfinance,KS,1
20250520,005930,56200.0,56700.0,55700.0,55900.0,54931.15234375,9080577,507604254300.0,yfinance,KS,1
20250521,005930,56200.0,56600.0,55700.0,55700.0,54734.62109375,7794181,434135881700.0,yfinance,KS,1
20250522,005930,55300.0,55500.0,54500.0,54700.0,53751.953125,15254278,834409006600.0,yfinance,KS,1
20250523,005930,55000.0,55200.0,54100.0,54200.0,53260.6171875,11247115,609593633000.0,yfinance,KS,1
20250526,005930,53900.0,55000.0,53700.0,54700.0,53751.953125,10901337,596303133900.0,yfinance,KS,1
20250527,005930,54200.0,54500.0,53800.0,53900.0,52965.81640625,13439520,724390128000.0,yfinance,KS,1
20250528,005930,54300.0,56100.0,54200.0,55900.0,54931.15234375,17516283,979160219700.0,yfinance,KS,1
20250529,005930,56200.0,56400.0,55600.0,56100.0,55127.68359375,12936810,725755041000.0,yfinance,KS,1
20250530,005930,56200.0,57200.0,55800.0,56200.0,55225.953125,26219683,1473546184600.0,yfinance,KS,1
20250602,005930,56300.0,57300.0,56200.0,56800.0,55815.55078125,12870515,731045252000.0,yfinance,KS,1
20250604,005930,57200.0,57900.0,56800.0,57800.0,56798.22265625,19649983,1135769017400.0,yfinance,KS,1
20250605,005930,58100.0,59900.0,57900.0,59100.0,58075.69140625,23266027,1375022195700.0,yfinance,KS,1
20250609,005930,60400.0,60400.0,59500.0,59800.0,58763.55859375,19609659,1172657608200.0,yfinance,KS,1
20250610,005930,60000.0,60100.0,58800.0,59200.0,58173.95703125,15305760,906100992000.0,yfinance,KS,1
20250611,005930,59500.0,60100.0,59400.0,59900.0,58861.82421875,13610734,815282966600.0,yfinance,KS,1
20250612,005930,59700.0,60000.0,59300.0,59500.0,58468.7578125,17755115,1056429342500.0,yfinance,KS,1
20250613,005930,60200.0,60200.0,57700.0,58300.0,57289.55859375,20705979,1207158575700.0,yfinance,KS,1
20250616,005930,58000.0,58100.0,56900.0,57200.0,56208.62109375,22200872,1269889878400.0,yfinance,KS,1
20250617,005930,57800.0,59800.0,57400.0,58100.0,57093.01953125,28637003,1663809874300.0,yfinance,KS,1
20250618,005930,58000.0,59800.0,57900.0,59800.0,58763.55859375,17620705,1053718159000.0,yfinance,KS,1
20250619,005930,60500.0,60600.0,59000.0,59200.0,58173.95703125,16876278,999075657600.0,yfinance,KS,1
20250620,005930,59400.0,59800.0,59100.0,59500.0,58468.7578125,18072251,1075298934500.0,yfinance,KS,1
20250623,005930,58400.0,58500.0,57600.0,58000.0,56994.75390625,16551694,959998252000.0,yfinance,KS,1
20250624,005930,59400.0,60600.0,59300.0,60500.0,59451.42578125,23737899,1436142889500.0,yfinance,KS,1
20250625,005930,61500.0,61600.0,60300.0,61300.0,60237.55859375,23933612,1467130415600.0,yfinance,KS,1
20250626,005930,61300.0,61300.0,59900.0,60200.0,59156.625,19402300,1168018460000.0,yfinance,KS,1
20250627,005930,60100.0,61600.0,60000.0,60800.0,60112.6953125,17340470,1054300576000.0,yfinance,KS,1
20250630,005930,61200.0,61200.0,59800.0,59800.0,59124.0,17110294,1023195581200.0,yfinance,KS,1
20250701,005930,60400.0,61100.0,60200.0,60200.0,59519.4765625,13650991,821789658200.0,yfinance,KS,1
20250702,005930,60200.0,60900.0,59800.0,60800.0,60112.6953125,15047951,914915420800.0,yfinance,KS,1
20250703,005930,61300.0,63800.0,61100.0,63800.0,63078.78125,32040639,2044192768200.0,yfinance,KS,1
20250704,005930,64700.0,64700.0,63000.0,63300.0,62584.43359375,23748959,1503309104700.0,yfinance,KS,1
20250707,005930,62900.0,63300.0,61700.0,61700.0,61002.51953125,17164708,1059062483600.0,yfinance,KS,1
20250708,005930,61600.0,62400.0,61000.0,61400.0,60705.9140625,20213724,1241122653600.0,yfinance,KS,1
20250709,005930,61400.0,61400.0,60200.0,60400.0,59717.21484375,17533415,1059018266000.0,yfinance,KS,1
20250710,005930,60600.0,61200.0,60400.0,61000.0,60310.43359375,14768473,900876853000.0,yfinance,KS,1
20250711,005930,61300.0,62800.0,61200.0,62600.0,61892.34765625,19140650,1198204690000.0,yfinance,KS,1
20250714,005930,62300.0,62600.0,61800.0,62500.0,61793.4765625,13563846,847740375000.0,yfinance,KS,1
20250715,005930,62300.0,63800.0,62000.0,63700.0,62979.9140625,18442202,1174768267400.0,yfinance,KS,1
20250716,005930,63700.0,64700.0,63100.0,64700.0,63968.609375,23042660,1490860102000.0,yfinance,KS,1
20250717,005930,65900.0,66800.0,64400.0,66700.0,65946.0078125,39448683,2631227156100.0,yfinance,KS,1
20250718,005930,67000.0,67800.0,66300.0,67100.0,66341.4765625,23951531,1607147730100.0,yfinance,KS,1
20250721,005930,67400.0,68800.0,67200.0,67800.0,67033.5625,17723148,1201629434400.0,yfinance,KS,1
20250722,005930,68100.0,68500.0,65600.0,66000.0,65253.9140625,20829006,1374714396000.0,yfinance,KS,1
20250723,005930,66200.0,66500.0,64900.0,66400.0,65649.390625,15687058,1041620651200.0,yfinance,KS,1
20250724,005930,66500.0,66800.0,65900.0,66000.0,65253.9140625,12660193,835572738000.0,yfinance,KS,1
20250725,005930,65700.0,66300.0,65500.0,65900.0,65155.046875,8080910,532531969000.0,yfinance,KS,1
