추천순위,결합순위,날짜,종목명,종목코드,시장,섹터그룹,종가,200일이평,200일선상단여부,RSI14,MACD히스토그램,거래량비율20일,20일돌파,최근EPS(DART),컨센서스EPS(스크래),향후예상EPS,EPS출처,모델EPS,정정가_기본,상승잠재(%),발휘지수,기술지수,종합지수,적자여부,최대비중(%),결합액션,포트비중(%),마켓레짐,레짐비중배수,투자사유약,주의사항
1,1,2026-05-09,현대지에프홀딩스,005440,KS,복합기업,14880.0,10149.3,1,,10.3274456803899,1.6771876208410612,0,518661888000.0,1788.0,1788.0,TRAILING_DART,518661888000.0,6223942656000.0,41827571512.90323,100.0,100.0,100.0,0,3.0,진입_관심,3.0,NEUTRAL,1.0,상승잠재 41827571513% | 200일선상단 | 거래량상승1.7x | MACD+,EPS스크래핑
2,2,2026-05-09,한국타이어앤테크놀로지,161390,KS,자동차부품,62100.0,53892.5,1,,72.14810125895974,1.7445230094451851,0,971594538868.0,11517.0,11517.0,TRAILING_DART,971594538868.0,11659134466416.0,18774773597.93237,100.0,100.0,100.0,0,3.0,진입_관심,3.0,NEUTRAL,1.0,상승잠재 18774773598% | 200일선상단 | 거래량상승1.7x | MACD+,EPS스크래핑
3,3,2026-05-09,메가스터디교육,215200,KQ,교육서비스,47250.0,45328.75,1,,109.40617932140344,1.5379145093148554,0,92935243694.0,,9862.676095066425,TRAILING_DART,92935243694.0,1115222924328.0,2360260057.3079367,100.0,100.0,100.0,0,3.0,진입_관심,3.0,NEUTRAL,1.0,상승잠재 2360260057% | 200일선상단 | 거래량상승1.5x | MACD+,EPS스크래핑
4,4,2026-05-09,AP시스템,265520,KQ,디스플레이장비및부품,30200.0,20138.6,1,,495.3218724513981,5.081586947422486,1,23784739380.0,,1738.324661359005,TRAILING_DART,23784739380.0,285416872560.0,945088881.9867549,100.0,100.0,100.0,0,3.0,추천_매수진입,3.0,NEUTRAL,1.0,상승잠재 945088882% | 200일선상단 | 20일돌파 | 거래량상승5.1x | MACD+,EPS스크래핑
5,5,2026-05-09,원익IPS,240810,KQ,반도체와반도체장비,132900.0,75747.0,1,,1381.7987675778727,0.9078822107049226,1,84028556164.0,3131.0,3131.0,TRAILING_DART,84028556164.0,1008342673968.0,758722754.7539504,100.0,100.0,100.0,0,3.0,추천_매수진입,3.0,NEUTRAL,1.0,상승잠재 758722755% | 200일선상단 | 20일돌파 | MACD+,EPS스크래핑
6,6,2026-05-09,롯데웰푸드,280360,KS,식품,127600.0,117351.5,1,,658.1340126414821,2.957753523439216,1,71390131647.0,11712.0,11712.0,TRAILING_DART,71390131647.0,856681579764.0,671380448.4043887,100.0,100.0,100.0,0,3.0,추천_매수진입,3.0,NEUTRAL,1.0,상승잠재 671380448% | 200일선상단 | 20일돌파 | 거래량상승3.0x | MACD+,EPS스크래핑
7,7,2026-05-09,파마리서치,214450,KQ,건강관리장비와용품,341000.0,462592.5,0,,4068.853195655696,3.642793332385845,1,168255434874.0,18767.0,18767.0,TRAILING_DART,168255434874.0,2019065218488.0,592101137.0932552,100.0,100.0,100.0,0,3.0,관심종목,3.0,NEUTRAL,1.0,상승잠재 592101137% | 20일돌파 | 거래량상승3.6x | MACD+,EPS스크래핑
8,8,2026-05-09,F&F홀딩스,007700,KS,"섬유,의류,신발,호화품",20500.0,19305.85,1,,121.3460270645018,1.1987749099794711,1,9405.895715224024,,10346.485286746429,TRAILING_DART,9405.895715224024,112870.74858268828,450.5890174765282,100.0,100.0,100.0,0,3.0,추천_매수진입,3.0,NEUTRAL,1.0,상승잠재 451% | 200일선상단 | 20일돌파 | MACD+,EPS스크래핑
9,9,2026-05-09,솔브레인홀딩스,036830,KQ,전기제품,66400.0,46417.75,1,,93.77133514887193,1.7760945536331358,0,24168.868325570533,,26585.755158127587,TRAILING_DART,24168.868325570533,290026.41990684636,336.78677696814214,100.0,100.0,100.0,0,3.0,진입_관심,3.0,NEUTRAL,1.0,상승잠재 337% | 200일선상단 | 거래량상승1.8x | MACD+,EPS스크래핑
10,10,2026-05-09,한화3우B,00088K,KS,복합기업,50600.0,42066.5,1,,112.18998699993163,1.4100216872386973,0,,10406.0,10406.0,CONSENSUS_SCRAPE,10406.0,124872.0,146.78260869565216,100.0,100.0,100.0,0,3.0,진입_관심,3.0,NEUTRAL,1.0,상승잠재 147% | 200일선상단 | MACD+,EPS스크래핑
11,11,2026-05-09,한화,000880,KS,복합기업,141300.0,101095.5,1,,1052.9190039441337,1.022788656719772,1,28246.47256998182,10406.0,10406.0,TRAILING_DART,28246.47256998182,338957.6708397818,139.88511736714918,100.0,100.0,100.0,0,3.0,추천_매수진입,3.0,NEUTRAL,1.0,상승잠재 140% | 200일선상단 | 20일돌파 | MACD+,EPS스크래핑
12,12,2026-05-09,INVENI,015360,KS,가스유틸리티,17400.0,13766.25,1,,70.99975751525443,4.712936387381611,1,3182.2162935779816,,3500.43792293578,TRAILING_DART,3182.2162935779816,38186.59552293578,119.46319266055045,100.0,100.0,100.0,0,3.0,추천_매수진입,3.0,NEUTRAL,1.0,상승잠재 119% | 200일선상단 | 20일돌파 | 거래량상승4.7x | MACD+,EPS스크래핑
13,13,2026-05-09,HD현대,267250,KS,조선,289000.0,206181.0,1,,1929.7259630971491,1.1269446205398197,0,46529.16929374261,19327.0,19327.0,TRAILING_DART,46529.16929374261,558350.0315249113,93.2007029497963,100.0,100.0,100.0,0,3.0,진입_관심,3.0,NEUTRAL,1.0,상승잠재 93% | 200일선상단 | MACD+,EPS스크래핑
14,14,2026-05-09,현대차3우B,005389,KS,자동차,260500.0,209014.5,1,,1531.091070010105,4.084314088187011,1,,40715.0,40715.0,CONSENSUS_SCRAPE,40715.0,488580.0,87.55470249520154,100.0,100.0,100.0,0,3.0,추천_매수진입,3.0,NEUTRAL,1.0,상승잠재 88% | 200일선상단 | 20일돌파 | 거래량상승4.1x | MACD+,EPS스크래핑
15,15,2026-05-09,현대차2우B,005387,KS,자동차,271500.0,215979.5,1,,2124.949519877941,2.251050102194031,1,,40715.0,40715.0,CONSENSUS_SCRAPE,40715.0,488580.0,79.95580110497238,100.0,100.0,100.0,0,3.0,추천_매수진입,3.0,NEUTRAL,1.0,상승잠재 80% | 200일선상단 | 20일돌파 | 거래량상승2.3x | MACD+,EPS스크래핑
16,16,2026-05-09,화신,010690,KS,자동차부품,12890.0,9538.7,1,,49.79301994755724,3.0886254688313968,1,1909.724814542556,,2100.697295996812,TRAILING_DART,1909.724814542556,22916.69777451067,77.78663905749164,100.0,100.0,100.0,0,3.0,추천_매수진입,3.0,NEUTRAL,1.0,상승잠재 78% | 200일선상단 | 20일돌파 | 거래량상승3.1x | MACD+,EPS스크래핑
17,17,2026-05-09,DB증권,016610,KS,증권,15230.0,11291.2,1,,181.7655760958504,1.3676101607827988,0,2248.926010667244,,2473.8186117339687,TRAILING_DART,2248.926010667244,26987.112128006927,77.19705927778679,100.0,100.0,100.0,0,3.0,진입_관심,3.0,NEUTRAL,1.0,상승잠재 77% | 200일선상단 | MACD+,EPS스크래핑
18,18,2026-05-09,에이스침대,003800,KQ,가구,35000.0,31295.75,1,,91.72707798029256,0.6276258537924608,1,5047.208299909828,,5551.929129900812,TRAILING_DART,5047.208299909828,60566.499598917944,73.04714171119413,100.0,100.0,100.0,0,3.0,추천_매수진입,3.0,NEUTRAL,1.0,상승잠재 73% | 200일선상단 | 20일돌파 | MACD+,EPS스크래핑
19,19,2026-05-09,GS,078930,KS,석유와가스,79400.0,57806.5,1,,282.8811295080613,1.0617729787786616,0,11172.929845907744,8318.0,8318.0,TRAILING_DART,11172.929845907744,134075.15815089294,68.86040069381983,100.0,100.0,100.0,0,3.0,진입_관심,3.0,NEUTRAL,1.0,상승잠재 69% | 200일선상단 | MACD+,EPS스크래핑
20,20,2026-05-09,현대그린푸드,453340,KS,식품,19300.0,15978.3,1,,265.6017368123924,3.052296079918299,1,2699.4712250194725,,2969.41834752142,TRAILING_DART,2699.4712250194725,32393.65470023367,67.84277046753198,100.0,100.0,100.0,0,3.0,추천_매수진입,3.0,NEUTRAL,1.0,상승잠재 68% | 200일선상단 | 20일돌파 | 거래량상승3.1x | MACD+,EPS스크래핑
21,21,2026-05-09,일진홀딩스,015860,KS,전기장비,13700.0,7076.5,1,,494.7443633395285,1.7098585083641162,1,1815.7691979751023,,1997.3461177726128,TRAILING_DART,1815.7691979751023,21789.230375701227,59.045477194899476,100.0,100.0,100.0,0,3.0,추천_매수진입,3.0,NEUTRAL,1.0,상승잠재 59% | 200일선상단 | 20일돌파 | 거래량상승1.7x | MACD+,EPS스크래핑
22,22,2026-05-09,F&F,383220,KS,"섬유,의류,신발,호화품",83100.0,68169.0,1,,1760.0581095542352,1.9400250290770864,1,10459.855496040876,10579.0,10579.0,TRAILING_DART,10459.855496040876,125518.26595249052,51.044844708171496,100.0,100.0,100.0,0,3.0,추천_매수진입,3.0,NEUTRAL,1.0,상승잠재 51% | 200일선상단 | 20일돌파 | 거래량상승1.9x | MACD+,EPS스크래핑
23,23,2026-05-09,기아,000270,KS,자동차,164500.0,129817.5,1,,898.5629413958702,2.9571023160769374,1,19349.186729689773,21385.0,21385.0,TRAILING_DART,19349.186729689773,232190.2407562773,41.14908252661233,100.0,100.0,100.0,0,3.0,추천_매수진입,3.0,NEUTRAL,1.0,상승잠재 41% | 200일선상단 | 20일돌파 | 거래량상승3.0x | MACD+,EPS스크래핑
24,24,2026-05-09,휴온스,243070,KQ,제약,30250.0,28236.75,1,,323.6340101529546,3.3539232461186623,1,3526.296070883451,,3878.9256779717966,TRAILING_DART,3526.296070883451,42315.552850601416,39.88612512595508,100.0,100.0,100.0,0,3.0,추천_매수진입,3.0,NEUTRAL,1.0,상승잠재 40% | 200일선상단 | 20일돌파 | 거래량상승3.4x | MACD+,EPS스크래핑
25,25,2026-05-09,한일홀딩스,003300,KS,건축자재,17960.0,17148.4,1,,3.340642308541483,3.143984049930652,1,2008.9107962135488,,2209.801875834904,TRAILING_DART,2008.9107962135488,24106.929554562586,34.22566567128389,100.0,100.0,100.0,0,3.0,추천_매수진입,3.0,NEUTRAL,1.0,상승잠재 34% | 200일선상단 | 20일돌파 | 거래량상승3.1x | MACD+,EPS스크래핑
26,26,2026-05-09,현대홈쇼핑,057050,KS,인터넷과카탈로그소매,85700.0,62609.5,1,,41.78270801116696,1.53827830431101,0,9559.69225,,10515.661475,TRAILING_DART,9559.69225,114716.307,33.85800116686115,100.0,100.0,100.0,0,3.0,진입_관심,3.0,NEUTRAL,1.0,상승잠재 34% | 200일선상단 | 거래량상승1.5x | MACD+,EPS스크래핑
27,27,2026-05-09,에스엘,005850,KS,자동차부품,68300.0,45572.0,1,,460.9853010836741,3.627495284592516,1,6906.362346356784,7950.0,7950.0,TRAILING_DART,6906.362346356784,82876.3481562814,21.341651766151394,100.0,100.0,100.0,0,3.0,추천_매수진입,3.0,NEUTRAL,1.0,상승잠재 21% | 200일선상단 | 20일돌파 | 거래량상승3.6x | MACD+,EPS스크래핑
28,28,2026-05-09,휴온스글로벌,084110,KQ,제약,64800.0,53122.25,1,,215.7148531871044,2.037373360559177,0,6462.7802546356925,,7109.058280099262,TRAILING_DART,6462.7802546356925,77553.36305562832,19.681115826586915,99.20278956646727,100.0,99.60139478323364,0,3.0,진입_관심,2.9800697391616824,NEUTRAL,1.0,상승잠재 20% | 200일선상단 | 거래량상승2.0x | MACD+,EPS스크래핑
29,29,2026-05-09,케이씨,029460,KS,반도체와반도체장비,39600.0,28049.5,1,,68.04229154712175,1.0309066744664583,1,3919.13736649628,,4311.051103145908,TRAILING_DART,3919.13736649628,47029.64839795536,18.76173837867514,96.90434594668784,100.0,98.45217297334392,0,3.0,추천_매수진입,2.922608648667196,NEUTRAL,1.0,상승잠재 19% | 200일선상단 | 20일돌파 | MACD+,EPS스크래핑
30,30,2026-05-09,이노션,214320,KS,광고,20200.0,18757.7,1,,114.45850352506044,0.9856324188106224,1,108971717082.0,2562.0,2562.0,TRAILING_DART,108971717082.0,1307660604984.0,6473567251.405941,100.0,95.0,97.5,0,3.0,추천_매수진입,2.875,NEUTRAL,1.0,상승잠재 6473567251% | 200일선상단 | 20일돌파 | MACD+,EPS스크래핑
31,31,2026-05-09,대신증권,003540,KS,증권,39300.0,30993.75,1,,121.68760423433956,0.9718242495348942,0,186726503000.0,,4173.10325732369,TRAILING_DART,186726503000.0,2240718036000.0,5701572510.687022,100.0,95.0,97.5,0,3.0,진입_관심,2.875,NEUTRAL,1.0,상승잠재 5701572511% | 200일선상단 | MACD+,EPS스크래핑
32,32,2026-05-09,롯데렌탈,089860,KS,도로와철도운송,33250.0,31210.5,1,,-102.5730701586636,1.7339467632161432,0,126714957828.0,4267.0,4267.0,TRAILING_DART,126714957828.0,1520579493936.0,4573171310.333835,100.0,95.0,97.5,0,3.0,진입_관심,2.875,NEUTRAL,1.0,상승잠재 4573171310% | 200일선상단 | 거래량상승1.7x,EPS스크래핑
