forward_horizon_days,score_threshold,selected_count,avg_net_return_pct,win_rate_pct,avg_score,avg_weight_pct
1,50,167,0.9596487320820452,52.69461077844312,67.71025147772718,1.6095808383233534
1,55,151,0.886277595153743,50.993377483443716,69.30866993180385,1.6529801324503317
1,60,116,0.9593364824049404,49.137931034482754,72.83403816041486,1.7896551724137928
1,65,89,1.014349502642694,48.31460674157304,76.03822993841241,1.9685393258426975
1,70,61,1.3959404934998725,52.459016393442624,79.77048120250912,2.0459016393442626
1,75,44,1.302513585494166,50.0,82.54889235610412,2.140909090909091
1,80,29,1.6887687814479917,51.724137931034484,85.05905042302831,2.3172413793103455
1,85,15,3.404161947877259,66.66666666666666,87.86005028219465,2.2399999999999998
1,90,3,3.7336609835305037,100.0,90.57142855623165,2.4000000000000004
2,50,161,1.530920494128184,54.037267080745345,67.77658683016683,1.6285714285714288
2,55,145,1.4094858550843883,53.79310344827586,69.44846650054346,1.6758620689655177
2,60,112,1.3205184385998707,53.57142857142857,72.91707982538887,1.8160714285714288
2,65,87,1.6543026667592822,58.620689655172406,75.98813772241466,1.9931034482758634
2,70,60,2.0562207093448763,58.333333333333336,79.65867149346711,2.08
2,75,43,2.1747178114490677,55.81395348837209,82.45749302147796,2.1906976744186046
2,80,28,2.327429503547243,50.0,85.0083356615283,2.400000000000001
2,85,14,4.703549228326324,71.42857142857143,87.95869217770648,2.3999999999999995
2,90,3,2.226487210307671,100.0,90.57142855623165,2.4000000000000004
