기준일,추천순위,결합순위,종목명,종목코드,시장,섹터그룹,종가,20일이평,60일이평,120일이평,200일이평,200일선상단여부,RSI14,MACD히스토그램,거래량비율20일,20일돌파,5일수익률(%),20일수익률(%),상대강도20일,후행EPS(DART),컨센서스EPS(스크랩),자동선행EPS,원본EPS출처,EPS소스,수동선행EPS,모델EPS,현재PER,적정주가_기준,상승여력(%),밸류점수,적자여부,최대비중(%),기술점수,종합점수,결합액션,권장비중(%),마켓레짐,레짐비중배수,섹터PER상한,핵심요약,주의표시,volume_ratio_pct_rank
2026-04-25,1,1,일진홀딩스,015860,KS,전기장비,9580.0,7719.5,7798.166666666667,7519.0,6842.85,1,71.79215689038773,228.6006045304781,1.9926617419421524,1,16.686967113276484,35.31073446327684,35.31073446327684,1815.7691979751023,,1997.3461177726128,DART,TRAILING_DART,,1815.7691979751023,5.276000942566578,21789.230375701227,127.44499348331134,96.74449934833113,0,3.0,85.96918252671612,91.35684093752363,최종매수후보,3.0,BULL,1.0,30.0,상승여력 127% | 200일↑ | 20일돌파 | 거래량x2.0 | MACD+,,88.27319587628865
2026-04-25,2,2,KG케미칼,001390,KS,자동차,6000.0,5538.5,5534.083333333333,5407.583333333333,5179.325,1,62.71643592403613,38.863456672315166,1.702859830558405,1,2.2146507666098714,11.940298507462677,11.940298507462677,3628.948809580648,,3991.843690538713,DART,TRAILING_DART,,3628.948809580648,1.6533713521005398,43547.38571496777,625.7897619161296,100.0,0,3.0,80.45734903503933,90.22867451751966,최종매수후보,3.0,BULL,1.0,6.972710039133656,상승여력 626% | 200일↑ | 20일돌파 | 거래량x1.7 | RSI우호 | MACD+,,82.60309278350515
2026-04-25,3,3,KG에코솔루션,151860,KQ,자동차,7040.0,6468.5,6427.666666666667,6048.166666666667,6093.05,1,62.92553839170336,62.859183660615344,1.3316172096671457,1,2.0289855072463725,9.657320872274134,9.657320872274134,3859.0686867815607,,4244.975555459717,DART,TRAILING_DART,,3859.0686867815607,1.8242743447697782,46308.82424137873,557.7957988832206,100.0,0,3.0,80.25754042730337,90.12877021365168,최종매수후보,3.0,BULL,1.0,6.972710039133656,상승여력 558% | 200일↑ | 20일돌파 | RSI우호 | MACD+,,73.96907216494846
2026-04-25,4,4,LX홀딩스,383800,KS,무역회사와판매업체,9600.0,8309.5,8523.833333333334,8321.0,8333.15,1,74.99002995089624,134.16353116283292,7.609953322195834,1,13.207547169811317,15.523465703971118,15.523465703971118,1777.57962074019,,1955.337582814209,DART,TRAILING_DART,,1777.57962074019,5.400601969099156,21330.95544888228,122.19745259252375,96.21974525925238,0,3.0,83.21444366517179,89.71709446221209,최종매수후보,3.0,BULL,1.0,13.127190137223494,상승여력 122% | 200일↑ | 20일돌파 | 거래량x7.6 | MACD+,,98.96907216494846
2026-04-25,5,5,제이에스코퍼레이션,194370,KS,"섬유,의류,신발,호화품",14100.0,12400.0,12529.0,12137.916666666666,11681.3,1,68.60451116770383,205.57160180402775,0.7293546213163477,1,5.697151424287861,20.512820512820507,20.512820512820507,2955.336888945347,,3250.8705778398817,DART,TRAILING_DART,,2955.336888945347,4.771029676089409,35464.04266734416,151.51803310173167,99.15180331017316,0,3.0,80.27558451184495,89.71369391100906,최종매수후보,3.0,BULL,1.0,7.756921109950797,상승여력 152% | 200일↑ | 20일돌파 | RSI우호 | MACD+,,31.70103092783505
2026-04-25,6,6,솔브레인홀딩스,036830,KQ,전기제품,63100.0,53957.5,53184.166666666664,46574.583333333336,45151.25,1,61.686460934545416,1278.433692582285,1.1743363334587404,0,15.779816513761457,29.170931422722624,29.170931422722624,24168.868325570533,,26585.755158127587,DART,TRAILING_DART,,24168.868325570533,2.610796631021426,290026.41990684636,359.62982552590546,100.0,0,3.0,77.03056307619856,88.51528153809929,진입대기,3.0,BULL,1.0,5.0,상승여력 360% | 200일↑ | RSI우호 | MACD+,,67.13917525773195
2026-04-25,7,7,효성,004800,KS,복합기업,171000.0,149575.0,149391.66666666666,141222.5,119655.0,1,66.01910271424413,2232.8674097087437,1.58138435107421,1,7.14285714285714,22.492836676217777,22.492836676217777,25215.68690934456,17204.0,17204.0,DART|DAILY_DISC,TRAILING_DART,,25215.68690934456,6.781492830823099,302588.24291213474,76.9521888375057,90.0189227443787,0,3.0,85.89766857137353,87.9582956578761,최종매수후보,3.0,BULL,1.0,11.889597626439988,상승여력 77% | 200일↑ | 20일돌파 | 거래량x1.6 | RSI우호 | MACD+,EPS스크랩,80.6701030927835
2026-04-25,8,8,삼지전자,037460,KQ,통신장비,34050.0,29495.0,24905.5,19578.583333333332,16497.15,1,67.98843294340257,417.09230538630436,0.6205720166112743,0,8.26709062003179,33.0078125,33.0078125,7252.4396428794225,,7977.683607167365,DART,TRAILING_DART,,7252.4396428794225,4.6949718545304835,87029.27571455308,155.59258653319552,99.55925865331955,0,3.0,75.44073905703584,87.4999988551777,진입대기,3.0,BULL,1.0,5.0,상승여력 156% | 200일↑ | RSI우호 | MACD+,,21.90721649484536
2026-04-25,9,9,HD현대,267250,KS,조선,288000.0,253350.0,259250.0,235117.5,199642.5,1,66.23624452829168,4239.28793028545,0.9874756993570332,1,10.982658959537561,11.844660194174761,11.844660194174761,46529.16929374261,19327.0,19327.0,DART|DAILY_DISC,TRAILING_DART,,46529.16929374261,6.189665630646261,558350.0315249113,93.87153872392753,93.38715387239276,0,3.0,81.02520429443668,87.20617908341472,최종매수후보,3.0,BULL,1.0,22.008505802553593,상승여력 94% | 200일↑ | 20일돌파 | RSI우호 | MACD+,EPS스크랩,55.412371134020624
2026-04-25,10,10,KG스틸,016380,KS,철강,6160.0,5590.5,5687.166666666667,5523.083333333333,5622.075,1,65.75844029400847,71.55869552160401,1.5525121262124266,1,4.406779661016946,8.450704225352123,8.450704225352123,1355.2919371863486,,1490.8211309049836,DART,TRAILING_DART,,1355.2919371863486,4.545146201333166,16263.503246236183,164.01790984149648,100.0,0,3.0,73.015570014479,86.5077850072395,최종매수후보,3.0,BULL,1.0,21.676807840290483,상승여력 164% | 200일↑ | 20일돌파 | 거래량x1.6 | RSI우호 | MACD+,,80.41237113402062
