추천순위,결합순위,기준일,종목명,종목코드,시장,섹터그룹,종가,20일이평,60일이평,120일이평,200일이평,200일선상단여부,RSI14,MACD히스토그램,거래량비율20일,20일돌파,5일수익률(%),20일수익률(%),후행EPS(DART),컨센서스EPS(스크랩),자동선행EPS,원본EPS출처,EPS소스,수동선행EPS,모델EPS,현재PER,적정주가_기준,상승여력(%),밸류점수,적자여부,최대비중(%),기술점수,종합점수,결합액션,권장비중(%),마켓레짐,레짐비중배수,섹터PER상한,핵심요약,주의표시,volume_ratio_pct_rank,선정의견,판단코멘트
1,1,2026-04-28,솔브레인홀딩스,036830,KQ,전기제품,76900.0,56720.0,53980.833333333336,47081.66666666666,45470.5,1,73.16314576788534,2114.280817623414,3.470367129240205,1,13.92592592592592,69.38325991189427,24168.868325570533,,26585.755158127587,DART,TRAILING_DART,,24168.868325570533,3.181779095492039,290026.41990684636,277.147490125938,100.0,0,3.0,92.49482789633055,96.24741394816527,최종매수후보,2.4000000000000004,NEUTRAL,0.8,,비밸류평가,EPS없음,96.1340206185567,우선검토,점수와 추세가 양호합니다. 분할 접근을 고려할 수 있습니다.
2,2,2026-04-28,KG에코솔루션,151860,KQ,자동차,7240.0,6581.5,6462.5,6073.416666666667,6099.35,1,66.53160014323318,69.21884631088014,1.802716109455188,1,7.898658718330842,22.0910623946037,3859.0686867815607,,4244.975555459717,DART,TRAILING_DART,,3859.0686867815607,1.876100320473465,46308.82424137873,539.6246442179382,100.0,0,3.0,86.70832513791729,93.35416256895864,최종매수후보,2.4000000000000004,NEUTRAL,0.8,,비밸류평가,EPS없음,86.21134020618557,우선검토,점수와 추세가 양호합니다. 분할 접근을 고려할 수 있습니다.
3,3,2026-04-28,KG스틸,016380,KS,철강,6730.0,5724.0,5724.833333333333,5542.0,5625.425,1,75.79186396080456,115.718370988093,4.298681607270497,1,16.034482758620694,29.42307692307693,1355.2919371863486,,1490.8211309049836,DART,TRAILING_DART,,1355.2919371863486,4.965719794638345,16263.503246236183,141.65680900796707,98.1656809007967,0,3.0,87.92107968219416,93.04338029149542,최종매수후보,2.4000000000000004,NEUTRAL,0.8,,비밸류평가,EPS없음,97.16494845360825,우선검토,점수와 추세가 양호합니다. 분할 접근을 고려할 수 있습니다.
4,4,2026-04-28,화신,010690,KS,자동차부품,12990.0,11530.5,11562.5,10006.583333333334,9417.2,1,60.29973260564779,192.46620673983264,2.613725502787056,1,6.127450980392157,25.99418040737149,1909.724814542556,,2100.697295996812,DART,TRAILING_DART,,1909.724814542556,6.802027130338957,22916.69777451067,76.41799672448553,89.67169787091561,0,3.0,93.19329386508048,91.43249586799804,최종매수후보,2.4000000000000004,NEUTRAL,0.8,,비밸류평가,EPS없음,93.4278350515464,우선검토,점수와 추세가 양호합니다. 분할 접근을 고려할 수 있습니다.
5,5,2026-04-28,일진홀딩스,015860,KS,전기장비,9820.0,8056.5,7887.833333333333,7571.25,6883.45,1,69.26489244488961,253.64310935722008,3.174673974017859,0,14.053426248548195,50.38284839203675,1815.7691979751023,,1997.3461177726128,DART,TRAILING_DART,,1815.7691979751023,5.408176331524405,21789.230375701227,121.88625637170291,96.18862563717029,0,3.0,81.78990575645969,88.98926569681498,진입대기,2.4000000000000004,NEUTRAL,0.8,,비밸류평가,EPS없음,95.61855670103093,우선검토,추세는 양호하지만 확인이 더 필요합니다.
6,6,2026-04-28,맵스리얼티,094800,KS,nan,7820.0,7168.5,6706.666666666667,5960.666666666667,5499.125,1,79.28838664098154,68.6570042035093,2.352089750382253,1,10.140845070422545,11.714285714285722,,,,EMPTY,FORWARD_AUTO,,,,,,,0,3.0,88.3348133547647,88.3348133547647,관찰,0.0,NEUTRAL,0.8,,비밸류평가,EPS없음,92.26804123711341,우선검토,신호는 있으나 추가 확인이 필요합니다.
7,7,2026-04-28,제이에스코퍼레이션,194370,KS,"섬유,의류,신발,호화품",14610.0,12777.5,12653.333333333334,12214.416666666666,11716.65,1,65.85988428639985,257.217727125357,1.230614776737864,0,10.849772382397571,33.42465753424657,2955.336888945347,,3250.8705778398817,DART,TRAILING_DART,,2955.336888945347,4.94359883458626,35464.04266734416,142.7381428291866,98.27381428291866,0,3.0,75.49856368212501,86.88618898252184,진입대기,2.4000000000000004,NEUTRAL,0.8,,비밸류평가,EPS없음,71.77835051546391,우선검토,추세는 양호하지만 확인이 더 필요합니다.
8,8,2026-04-28,HDC,012630,KS,건설,27900.0,27235.0,25030.166666666668,21284.58333333333,21042.2,1,59.09228328419613,-87.24234610491226,0.9142526723258672,0,3.7174721189590976,0.540540540540535,6971.399814595231,,7668.539796054754,DART,TRAILING_DART,,6971.399814595231,4.002065688671151,83656.79777514277,199.8451533159239,100.0,0,3.0,73.64864095813633,86.82432047906816,진입대기,2.4000000000000004,NEUTRAL,0.8,,비밸류평가,EPS없음,47.80927835051546,우선검토,추세는 양호하지만 확인이 더 필요합니다.
9,9,2026-04-28,현대지에프홀딩스,005440,KS,복합기업,15190.0,14118.5,13869.0,11096.916666666666,9974.15,1,57.18157325131415,152.39976957713205,0.942154434472262,0,-0.5890052356020914,10.472727272727278,3326.796532701173,1788.0,1788.0,DART,TRAILING_DART,,3326.796532701173,4.565954019336004,39921.558392414074,162.81473596059297,100.0,0,3.0,73.4047658893528,86.7023829446764,진입대기,2.4000000000000004,NEUTRAL,0.8,,비밸류평가,EPS없음,50.51546391752577,우선검토,추세는 양호하지만 확인이 더 필요합니다.
10,10,2026-04-28,삼지전자,037460,KQ,통신장비,33700.0,30467.5,25347.166666666668,19932.83333333333,16719.65,1,66.25985568920399,203.97839223955447,0.5100975075169663,0,1.9667170953101327,40.41666666666666,7252.4396428794225,,7977.683607167365,DART,TRAILING_DART,,7252.4396428794225,4.646712231943533,87029.27571455308,158.24710894526137,99.82471089452613,0,3.0,73.47116005279914,86.64793547366264,진입대기,2.4000000000000004,NEUTRAL,0.8,,비밸류평가,EPS없음,11.469072164948454,우선검토,추세는 양호하지만 확인이 더 필요합니다.
