기준일,추천순위,종목명,종목코드,시장,선정의견,선정핵심근거,결합액션,거래량비율20일,20일돌파,200일선상단여부,RSI14,종합점수,판단코멘트
2026-04-27,1,기아,000270,KS,우선검토,비밸류평가,관찰,1.0433179357738829,0,1,46.18508868258687,63.34548379371676,신호는 있으나 추가 확인이 필요합니다.
2026-04-27,2,SK스퀘어,402340,KS,우선검토,비밸류평가,관찰,0.8094906086325797,1,1,74.5358235886712,62.25551970222651,신호는 있으나 추가 확인이 필요합니다.
2026-04-27,3,KB금융,105560,KS,관찰후진입,비밸류평가,관찰,0.6243922264112514,0,1,53.628034426677736,57.14034923014295,신호는 있으나 추가 확인이 필요합니다.
2026-04-27,4,현대차,005380,KS,관찰후진입,비밸류평가,관찰,0.8879870613980821,0,1,53.22967259915662,56.405681728865325,신호는 있으나 추가 확인이 필요합니다.
2026-04-27,5,SK하이닉스,000660,KS,관망,비밸류평가,제외,0.858943490290288,1,1,72.36718339763343,45.61586177374291,현재 강한 매수 신호는 없습니다. 관망이 적절합니다.
2026-04-27,6,두산에너빌리티,034020,KS,관망,비밸류평가,제외,0.9180572402550908,1,1,74.88632830800454,44.2350099731774,현재 강한 매수 신호는 없습니다. 관망이 적절합니다.
2026-04-27,7,LG에너지솔루션,373220,KS,관망,비밸류평가,제외,0.782944121700777,0,1,62.24199892914957,41.08404375460863,현재 강한 매수 신호는 없습니다. 관망이 적절합니다.
2026-04-27,8,삼성전자,005930,KS,관망,비밸류평가,제외,0.7664278823816595,0,1,62.76200243644768,40.1213719637125,현재 강한 매수 신호는 없습니다. 관망이 적절합니다.
2026-04-27,9,한화에어로스페이스,012450,KS,관망,비밸류평가,제외,0.4507996048539228,0,1,53.35049433242423,35.66031776059805,현재 강한 매수 신호는 없습니다. 관망이 적절합니다.
2026-04-27,10,삼성바이오로직스,207940,KS,관망,비밸류평가,제외,1.3846316691448877,0,0,40.28131815014504,13.225116819860995,현재 강한 매수 신호는 없습니다. 관망이 적절합니다.
