기준일,추천순위,종목명,종목코드,시장,선정의견,선정핵심근거,결합액션,거래량비율20일,20일돌파,200일선상단여부,RSI14,종합점수,판단코멘트
2026-04-28,1,솔브레인홀딩스,036830,KQ,우선검토,비밸류평가,최종매수후보,3.470367129240205,1,1,73.16314576788534,96.24741394816527,점수와 추세가 양호합니다. 분할 접근을 고려할 수 있습니다.
2026-04-28,2,KG에코솔루션,151860,KQ,우선검토,비밸류평가,최종매수후보,1.802716109455188,1,1,66.53160014323318,93.35416256895864,점수와 추세가 양호합니다. 분할 접근을 고려할 수 있습니다.
2026-04-28,3,KG스틸,016380,KS,우선검토,비밸류평가,최종매수후보,4.298681607270497,1,1,75.79186396080456,93.04338029149542,점수와 추세가 양호합니다. 분할 접근을 고려할 수 있습니다.
2026-04-28,4,화신,010690,KS,우선검토,비밸류평가,최종매수후보,2.613725502787056,1,1,60.29973260564779,91.43249586799804,점수와 추세가 양호합니다. 분할 접근을 고려할 수 있습니다.
2026-04-28,5,일진홀딩스,015860,KS,우선검토,비밸류평가,진입대기,3.174673974017859,0,1,69.26489244488961,88.98926569681498,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,7,제이에스코퍼레이션,194370,KS,우선검토,비밸류평가,진입대기,1.230614776737864,0,1,65.85988428639985,86.88618898252184,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,8,HDC,012630,KS,우선검토,비밸류평가,진입대기,0.9142526723258672,0,1,59.09228328419613,86.82432047906816,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,9,현대지에프홀딩스,005440,KS,우선검토,비밸류평가,진입대기,0.942154434472262,0,1,57.18157325131415,86.7023829446764,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,10,삼지전자,037460,KQ,우선검토,비밸류평가,진입대기,0.5100975075169663,0,1,66.25985568920399,86.64793547366264,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,11,GS,078930,KS,우선검토,비밸류평가,최종매수후보,1.1226120917536444,1,1,64.49844420877054,85.95598922326296,점수와 추세가 양호합니다. 분할 접근을 고려할 수 있습니다.
2026-04-28,12,KG케미칼,001390,KS,우선검토,비밸류평가,진입대기,0.826276335742511,0,1,63.66855643212668,85.5649886483431,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,13,성우하이텍,015750,KQ,우선검토,비밸류평가,진입대기,1.605875241130063,0,1,54.39446200530766,85.4012701745337,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,14,현대차3우B,005389,KS,우선검토,비밸류평가,최종매수후보,2.0831644030002026,1,1,55.88802622221073,85.28048277405432,점수와 추세가 양호합니다. 분할 접근을 고려할 수 있습니다.
2026-04-28,15,E1,017940,KS,우선검토,비밸류평가,최종매수후보,1.2112681012791864,1,1,64.17056643422119,85.23060611825659,점수와 추세가 양호합니다. 분할 접근을 고려할 수 있습니다.
2026-04-28,16,대한해운,005880,KS,우선검토,비밸류평가,진입대기,0.2807867857097063,0,1,54.12889315884541,84.48123713575208,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,17,더블유게임즈,192080,KS,우선검토,비밸류평가,최종매수후보,5.254233318167655,1,1,79.85610691998275,83.43958218471127,점수와 추세가 양호합니다. 분할 접근을 고려할 수 있습니다.
2026-04-28,18,iM금융지주,139130,KS,우선검토,비밸류평가,최종매수후보,0.5290983934116521,1,1,65.96800286677933,83.24056970877265,점수와 추세가 양호합니다. 분할 접근을 고려할 수 있습니다.
2026-04-28,19,INVENI,015360,KS,우선검토,비밸류평가,진입대기,1.5839338606910631,0,1,61.289940206662514,83.09537972990162,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,20,현대차2우B,005387,KS,우선검토,비밸류평가,최종매수후보,1.4959724559668033,1,1,55.888569170224045,83.07405139279686,점수와 추세가 양호합니다. 분할 접근을 고려할 수 있습니다.
2026-04-28,21,HD현대,267250,KS,우선검토,비밸류평가,진입대기,1.1255478671762322,0,1,60.88115070168801,82.92570560633592,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,22,인화정공,101930,KQ,우선검토,비밸류평가,진입대기,0.0,0,1,58.723576681195134,82.78083602421381,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,23,한화,000880,KS,우선검토,비밸류평가,진입대기,0.7131678205420283,0,1,55.72441806994109,82.61316165598092,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,24,한화생명,088350,KS,우선검토,비밸류평가,진입대기,0.943639428214036,0,1,55.57061828534332,82.54197521334999,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,25,LF,093050,KS,우선검토,비밸류평가,진입대기,0.3899625069884002,0,1,59.47334485762441,82.34199289262988,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,26,농심홀딩스,072710,KS,우선검토,비밸류평가,최종매수후보,0.9556712033359372,1,1,58.65361673703512,82.03167430847773,점수와 추세가 양호합니다. 분할 접근을 고려할 수 있습니다.
2026-04-28,27,KCC,002380,KS,우선검토,비밸류평가,진입대기,0.7239969758710387,0,1,55.39316743482304,81.95057791606762,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,28,한화3우B,00088K,KS,우선검토,비밸류평가,진입대기,1.1424227934210882,0,1,51.66360784839474,80.64525504147355,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,29,삼천리,004690,KS,우선검토,비밸류평가,최종매수후보,0.6178669462390644,1,1,59.66980925687228,80.55405925357125,점수와 추세가 양호합니다. 분할 접근을 고려할 수 있습니다.
2026-04-28,30,DB증권,016610,KS,우선검토,비밸류평가,진입대기,1.3634448831547157,0,1,57.92061190418473,79.97213424976624,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,31,오리온홀딩스,001800,KS,우선검토,비밸류평가,진입대기,1.1028083028083029,0,1,52.849581326782,79.93134412339744,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,32,LX홀딩스,383800,KS,우선검토,비밸류평가,진입대기,0.941626556375572,0,1,64.0592467611855,79.84701136002265,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,33,한국캐피탈,023760,KQ,우선검토,비밸류평가,진입대기,0.8868243276371368,0,1,54.01715872157608,79.13487185341269,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,34,태영건설,009410,KS,우선검토,비밸류평가,진입대기,0.6715635250700099,0,1,55.67891720970871,78.77654545358334,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,35,DN오토모티브,007340,KS,우선검토,비밸류평가,진입대기,0.7955604517003526,0,1,58.31823753606816,78.72611283584887,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,36,금호타이어,073240,KS,우선검토,비밸류평가,진입대기,3.7832912050817136,0,1,51.53881487333012,78.71427927434914,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,37,미래에셋증권2우B,00680K,KS,우선검토,비밸류평가,진입대기,1.0457422078846246,0,1,51.25658211387928,78.41695461890164,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,38,한국금융지주,071050,KS,우선검토,비밸류평가,진입대기,0.8549852165465732,0,1,60.46131881767567,77.95625379823889,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,39,세방전지,004490,KS,우선검토,비밸류평가,최종매수후보,1.4412331584025495,1,1,64.39871302302419,77.63702869205778,점수와 추세가 양호합니다. 분할 접근을 고려할 수 있습니다.
2026-04-28,40,한국단자,025540,KS,우선검토,비밸류평가,최종매수후보,1.804047282996896,1,1,70.36472275749502,76.94613097649291,점수와 추세가 양호합니다. 분할 접근을 고려할 수 있습니다.
