기준일,종목명,종목코드,시장,종가,직전20일고가,20일돌파,거래량비율20일
2026-03-17,솔브레인홀딩스,036830,KQ,53800.0,62400.0,0,0.38
2026-03-18,솔브레인홀딩스,036830,KQ,55000.0,62400.0,0,0.37
2026-03-19,솔브레인홀딩스,036830,KQ,51700.0,62400.0,0,0.5
2026-03-20,솔브레인홀딩스,036830,KQ,52300.0,62400.0,0,0.29
2026-03-23,솔브레인홀딩스,036830,KQ,47000.0,62400.0,0,0.96
2026-03-24,솔브레인홀딩스,036830,KQ,50000.0,62400.0,0,0.74
2026-03-25,솔브레인홀딩스,036830,KQ,51300.0,62400.0,0,0.34
2026-03-26,솔브레인홀딩스,036830,KQ,48550.0,62400.0,0,0.35
2026-03-27,솔브레인홀딩스,036830,KQ,48850.0,62400.0,0,0.36
2026-03-30,솔브레인홀딩스,036830,KQ,47250.0,62400.0,0,0.28
2026-03-31,솔브레인홀딩스,036830,KQ,45400.0,62400.0,0,0.42
2026-04-01,솔브레인홀딩스,036830,KQ,49000.0,62400.0,0,0.51
2026-04-02,솔브레인홀딩스,036830,KQ,47100.0,62400.0,0,0.53
2026-04-03,솔브레인홀딩스,036830,KQ,47800.0,62400.0,0,0.56
2026-04-06,솔브레인홀딩스,036830,KQ,47600.0,62400.0,0,0.3
2026-04-07,솔브레인홀딩스,036830,KQ,51500.0,62400.0,0,1.12
2026-04-08,솔브레인홀딩스,036830,KQ,51900.0,62400.0,0,1.01
2026-04-09,솔브레인홀딩스,036830,KQ,50200.0,62100.0,0,1.14
2026-04-10,솔브레인홀딩스,036830,KQ,54000.0,57000.0,0,1.37
2026-04-13,솔브레인홀딩스,036830,KQ,54900.0,55000.0,0,1.25
2026-04-14,솔브레인홀딩스,036830,KQ,53500.0,55000.0,0,1.02
2026-04-15,솔브레인홀딩스,036830,KQ,53500.0,55000.0,0,1.09
2026-04-16,솔브레인홀딩스,036830,KQ,54000.0,54900.0,0,0.82
2026-04-17,솔브레인홀딩스,036830,KQ,54500.0,54900.0,0,0.77
2026-04-20,솔브레인홀딩스,036830,KQ,61000.0,54900.0,1,3.17
2026-04-21,솔브레인홀딩스,036830,KQ,67500.0,61000.0,1,3.94
2026-04-22,솔브레인홀딩스,036830,KQ,64600.0,67500.0,0,1.15
