당일기준일,전일기준일,변화상태,종목명,종목코드,전일추천순위,당일추천순위,순위변화,전일결합액션,당일결합액션,전일종합점수,당일종합점수,종합점수변화,전일기술점수,당일기술점수,기술점수변화,전일밸류점수,당일밸류점수,밸류점수변화,전일20일돌파,당일20일돌파,전일거래량비율20일,당일거래량비율20일,거래량비율20일변화,전일상승여력(%),당일상승여력(%),상승여력변화(%)
2026-05-05,2026-04-30,신규,한화,000880,,4,,,최종매수후보,,90.73585719773723,,,84.68176292672105,,,96.78995146875343,,,1,,1.4186470417403207,,,127.8995146875343,
2026-05-05,2026-04-30,신규,삼천리,004690,,20,,,최종매수후보,,82.97599014702459,,,65.95198029404918,,,100.0,,,1,,0.8628458331578724,,,161.70512824971684,
2026-05-05,2026-04-30,신규,DN오토모티브,007340,,46,,,최종매수후보,,75.40356177079701,,,91.02564648579046,,,59.78147705580358,,,1,,1.854506967388106,,,30.433041624313194,
2026-05-05,2026-04-30,신규,F&F홀딩스,007700,,13,,,최종매수후보,,84.78077860566867,,,69.56155721133734,,,100.0,,,1,,2.768583250107005,,,457.3864127540162,
2026-05-05,2026-04-30,신규,일진홀딩스,015860,,10,,,최종매수후보,,85.59232160191453,,,90.56943258335333,,,80.61521062047575,,,1,,13.153962860183476,,,62.484939416116525,
2026-05-05,2026-04-30,신규,DB증권,016610,,6,,,최종매수후보,,88.05696494234408,,,83.51495529612377,,,92.59897458856439,,,1,,3.632391093489718,,,85.98974588564387,
2026-05-05,2026-04-30,신규,NICE,034310,,37,,,최종매수후보,,78.03534303005907,,,70.98300346423378,,,85.08768259588436,,,1,,2.1621169634308206,,,69.3656655321298,
2026-05-05,2026-04-30,신규,서희건설,035890,,22,,,최종매수후보,,82.28678175709598,,,71.7751044328939,,,92.79845908129806,,,1,,,,,87.98459081298067,
2026-05-05,2026-04-30,신규,한국금융지주,071050,,16,,,최종매수후보,,84.0285037289458,,,84.90824998232918,,,83.1487574755624,,,1,,1.7448657656360336,,,66.38270380855754,
2026-05-05,2026-04-30,신규,인화정공,101930,,1,,,최종매수후보,,93.7937287973264,,,91.63948441581877,,,95.94797317883402,,,1,,10.95529484803772,,,119.47973178834026,
2026-05-05,2026-04-30,신규,아이티센글로벌,124500,,17,,,최종매수후보,,83.83345304272133,,,84.99072438617438,,,82.67618169926828,,,1,,1.7867967717782773,,,65.65566415272043,
2026-05-05,2026-04-30,신규,iM금융지주,139130,,15,,,최종매수후보,,84.27841789378873,,,78.44947701802553,,,90.10735876955192,,,1,,1.1935012080699452,,,77.08824426084912,
2026-05-05,2026-04-30,신규,F&F,383220,,28,,,최종매수후보,,81.0457639298903,,,80.58124996275862,,,81.51027789702198,,,1,,5.995038229055493,,,63.86196599541842,
