name,ticker,market
삼성전자,005930,KS
SK하이닉스,000660,KS
현대차,005380,KS
LG에너지솔루션,373220,KS
SK스퀘어,402340,KS
삼성바이오로직스,207940,KS
한화에어로스페이스,012450,KS
두산에너빌리티,034020,KS
기아,000270,KS
KB금융,105560,KS
HD현대중공업,329180,KS
삼성전기,009150,KS
삼성생명,032830,KS
삼성물산,028260,KS
신한지주,055550,KS
셀트리온,068270,KS
삼성SDI,006400,KS
한화오션,042660,KS
HD현대일렉트릭,267260,KS
미래에셋증권,006800,KS
현대모비스,012330,KS
고려아연,010130,KS
하나금융지주,086790,KS
NAVER,035420,KS
POSCO홀딩스,005490,KS
HD한국조선해양,009540,KS
한국전력,015760,KS
LS ELECTRIC,010120,KS
효성중공업,298040,KS
한미반도체,042700,KS
SK,034730,KS
우리금융지주,316140,KS
삼성중공업,010140,KS
LG화학,051910,KS
한화시스템,272210,KS
현대로템,064350,KS
카카오,035720,KS
SK이노베이션,096770,KS
두산,000150,KS
삼성화재,000810,KS
SK텔레콤,017670,KS
포스코퓨처엠,003670,KS
HD현대,267250,KS
LG전자,066570,KS
HMM,011200,KS
메리츠금융지주,138040,KS
현대건설,000720,KS
KT&G,033780,KS
LIG디펜스앤에어로스페이스,079550,KS
한국항공우주,047810,KS
기업은행,024110,KS
현대글로비스,086280,KS
KT,030200,KS
에이피알,278470,KS
삼성에피스홀딩스,0126Z0,KS
LG,003550,KS
한국금융지주,071050,KS
삼성에스디에스,018260,KS
S-Oil,010950,KS
포스코인터내셔널,047050,KS
NH투자증권,005940,KS
크래프톤,259960,KS
카카오뱅크,323410,KS
DB손해보험,005830,KS
현대오토에버,307950,KS
대우건설,047040,KS
키움증권,039490,KS
하이브,352820,KS
삼양식품,003230,KS
LS,006260,KS
한화,000880,KS
삼성증권,016360,KS
삼성E&A,028050,KS
LG이노텍,011070,KS
대한항공,003490,KS
이수페타시스,007660,KS
현대차2우B,005387,KS
HD현대마린솔루션,443060,KS
SK바이오팜,326030,KS
HD건설기계,267270,KS
한진칼,180640,KS
유한양행,000100,KS
아모레퍼시픽,090430,KS
카카오페이,377300,KS
한화솔루션,009830,KS
LG유플러스,032640,KS
엘앤에프,066970,KS
